condition,seed,fold,n_test_windows,n_test_subjects,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
original_A1A2_same_windows,5,4,1722,24,0.8013937282229965,0.9363449691991786,0.6256684491978609,0.7651006711409396,0.8421052631578947,0.8736816315101738
common_average_reference,5,4,1722,24,0.8466898954703833,0.9383983572895277,0.7272727272727273,0.817531305903399,0.8738049713193117,0.8964418462923718
original_A1A2_same_windows,6,0,1662,24,0.8561973525872443,0.8879216539717084,0.8169582772543742,0.8571428571428571,0.872260823089257,0.9073785509148133
common_average_reference,6,0,1662,24,0.8194945848375451,0.9379760609357998,0.6729475100942126,0.7800904977375566,0.8517786561264822,0.9102263124673229
original_A1A2_same_windows,6,1,1562,24,0.8393085787451985,0.9089887640449438,0.7470238095238095,0.8263534218590398,0.8657035848047084,0.9268007624398075
common_average_reference,6,1,1562,24,0.7477592829705506,0.7292134831460674,0.7723214285714286,0.8092269326683291,0.7671394799054373,0.8138810861423221
original_A1A2_same_windows,6,2,1659,24,0.8758288125376733,0.9461279461279462,0.7942708333333334,0.8421578421578422,0.8911205073995773,0.9522686354283576
common_average_reference,6,2,1659,24,0.8547317661241712,0.8518518518518519,0.8580729166666666,0.8744239631336406,0.8629903354178511,0.9056479143284699
original_A1A2_same_windows,6,3,1608,24,0.7425373134328358,0.7732426303854876,0.7052341597796143,0.7611607142857143,0.7671541057367829,0.813817675830663
common_average_reference,6,3,1608,24,0.763681592039801,0.7970521541950113,0.7231404958677686,0.7776548672566371,0.7872340425531914,0.7801023531543012
original_A1A2_same_windows,6,4,1722,24,0.8211382113821138,0.9168377823408624,0.696524064171123,0.7973214285714286,0.8529130850047755,0.9211140728458642
common_average_reference,6,4,1722,24,0.829849012775842,0.8993839835728953,0.7393048128342246,0.8179271708683473,0.8567237163814182,0.8896592144417969
original_A1A2_same_windows,7,0,1662,24,0.8285198555956679,0.9445048966267682,0.6850605652759085,0.7876588021778584,0.8589807026224642,0.8951358856033168
common_average_reference,7,0,1662,24,0.8381468110709988,0.8781284004352558,0.7886944818304172,0.8371369294605809,0.8571428571428572,0.9103200418267265
