global_window_index,max_abs_amplitude,max_peak_to_peak,max_abs_kurtosis,frontal_low_frequency_ratio,frontal_high_frequency_ratio,line_noise_ratio,min_channel_std,nonfinite,flat_channel
6380,2026.0,3519.0,8.272348566823297,0.3428884182635789,0.03534843609679551,0.36957240360103794,129.0268732512576,False,False
6381,2197.0,3800.0,4.449449830562241,0.2378156835735803,0.024211092958477665,0.41990911459185093,155.95570717972686,False,False
6382,2596.0,3826.0,4.691941908601711,0.19114979131427204,0.02861016387582567,0.33074404967905563,170.39581637373288,False,False
6383,2596.0,3826.0,11.964128622634728,0.3467765808950734,0.14498160447899702,0.3293997118054725,120.31754193727176,False,False
6384,2040.0,2244.0,60.91629040320962,0.1541144029293867,0.1297634007864496,0.2688031151109165,87.95476548478982,False,False
6385,3075.0,5961.0,5.788162437483482,0.1585676523748328,0.023547489339582246,0.3465010127630347,158.87436683702697,False,False
6386,3075.0,5961.0,6.257669894882255,0.15186685266750014,0.046950587396274536,0.35255865078382603,149.65488736386007,False,False
6387,1046.0,1213.0,2.7803593421097723,0.08667542915105543,0.15028992937889782,0.25821665754319634,84.29121961740644,False,False
6388,2191.0,4010.0,9.233742667133175,0.2951626681179591,0.01896785316805026,0.25809326168243285,105.91898690560336,False,False
6389,2191.0,4010.0,8.43618492107658,0.29283766803804734,0.02779976717081039,0.3663827872807473,104.17065981929605,False,False
6390,1881.0,2886.0,9.203611760471103,0.1872565940608715,0.11571878286113131,0.3392034733519412,106.2919284802877,False,False
6391,1881.0,2886.0,11.198102107186704,0.25806570107434307,0.02924192577266352,0.3311897631577,105.04072781821266,False,False
6392,1009.0,1397.0,5.993876940489564,0.23828548405096828,0.14156039027237075,0.31711049854361845,80.05915493197284,False,False
6393,1009.0,1471.0,4.874272735513507,0.16038150887906752,0.08811674855661356,0.28515259362640855,79.5832492235415,False,False
6394,3995.0,6366.0,14.908150643391046,0.06485844855649671,0.031253874173063335,0.3001924885776332,120.51184758236363,False,False
6395,3995.0,6366.0,13.6268731030702,0.12586426221986022,0.03874443538268228,0.3406023801170153,123.64457905536761,False,False
6396,2891.0,3974.0,19.81973111656915,0.2522656443058977,0.20144448233497658,0.30997653923032975,100.72139572470279,False,False
6397,2633.0,5004.0,8.625271778058284,0.3931404136808642,0.09767138234340066,0.3210585423491044,150.07198690465026,False,False
6398,2633.0,5004.0,8.782529836523599,0.6878128238983328,0.04646558244328355,0.3198333460780603,140.184547587108,False,False
6399,3921.0,5409.0,13.110101535817066,0.3844564780747066,0.09825954772879524,0.33361483722628493,169.01772671338168,False,False
6400,3921.0,6513.0,7.913287407870762,0.43302273845476247,0.03109031699750769,0.32161488245076064,182.1940525662881,False,False
6401,2592.0,4305.0,5.493674972753446,0.2949598577012794,0.06589727180244295,0.3416698924775939,118.77506153873495,False,False
6402,641.0,1020.0,1.2440748531623331,0.07508494141385026,0.21269521820663892,0.3328174005809866,90.17300774446637,False,False
6403,3958.0,6034.0,15.160352519181473,0.046244164000842754,0.09501908779878698,0.40451253475951293,128.53629890169336,False,False
6404,3958.0,6660.0,6.9819385941002245,0.22258872825640458,0.06908444970721855,0.3046081699817267,166.46808773229134,False,False
6405,2702.0,5335.0,2.245500298643446,0.18615309391595458,0.1055543509595678,0.3492722335172128,147.73722022437008,False,False
6406,2743.0,4819.0,4.13445869530686,0.383204980137758,0.161474284721275,0.2557537987645875,131.1940775435897,False,False
6407,2743.0,4819.0,4.026627429751913,0.5186871852993321,0.09386789925672304,0.22954322170437524,126.33814978330071,False,False
6408,1230.0,1692.0,5.315163627039334,0.21729458095339418,0.08114142684953785,0.4257037232079977,88.19253421854044,False,False
6409,719.0,1126.0,1.5635396236567862,0.20154511109420917,0.16304166397684458,0.415786081179353,90.45400051128802,False,False
6410,715.0,1126.0,0.7640750920566246,0.31488177579173626,0.190131030101054,0.334814154963022,89.16398101992768,False,False
6411,2113.0,3237.0,8.267237248296684,0.43027915999774785,0.15130886790955553,0.40326737214437114,114.47285772727962,False,False
6412,2113.0,3237.0,7.191697873735974,0.1739722743902647,0.04858171291241421,0.44531736467077637,127.67097528290249,False,False
6413,3958.0,6218.0,7.088407819178162,0.0461881078945899,0.04518844063235614,0.41361690887740105,142.2448149743426,False,False
6414,3958.0,6218.0,11.902189162882754,0.11072431653656345,0.029559775897114702,0.335034745348441,136.5125328710129,False,False
6415,2408.0,2980.0,22.009081256327324,0.41389368798173365,0.13144038099859703,0.30233514328581085,92.85309737898405,False,False
6416,613.0,956.0,0.996419889045459,0.21365086245135734,0.27991749702005153,0.4746831306373807,76.94711427092508,False,False
6417,3001.0,4967.0,3.224673272696645,0.7401150058915958,0.20216426527808523,0.4582749178292408,134.3116239623004,False,False
6418,3001.0,4967.0,3.005774254549194,0.7966436780209838,0.13460375307370528,0.46461441556677024,141.31241079578174,False,False
6419,1083.0,1287.0,7.323356032603336,0.15911355081522802,0.15243660529035272,0.3573972077829022,83.0416345616987,False,False
6420,899.0,1583.0,2.9621698562703997,0.28939455877776704,0.1361206887615342,0.29478570794386544,107.72934007947296,False,False
6421,2739.0,5078.0,5.895619572405213,0.09947085624652495,0.04687467266376844,0.34115794393116494,111.84083662904405,False,False
6422,2739.0,5078.0,4.928853081398576,0.11753875123650175,0.047761235621137835,0.37704795594551305,114.94259982387932,False,False
6423,1001.0,1434.0,1.3857549068274615,0.13691903798693952,0.13856962764924027,0.401308224947954,97.25146663707197,False,False
6424,752.0,1251.0,1.85977132152206,0.06992538658378943,0.1486747432692816,0.31360216757875325,75.37380193514163,False,False
6425,1009.0,1765.0,2.7020794510466413,0.08218256254261588,0.2501081578892586,0.4001009711608922,98.34884400534406,False,False
6426,1271.0,2354.0,2.5611185767810785,0.29163518037386044,0.1820111358748446,0.22697130244808308,112.70311139338179,False,False
6427,3295.0,5739.0,4.987913198659811,0.2615710879082869,0.019649380717763083,0.27828151183951494,123.66519802863169,False,False
6428,3295.0,5739.0,4.493937469698521,0.24292538675226286,0.02907111224027409,0.3625448848614761,122.20028566554967,False,False
6429,1247.0,2060.0,3.8662778732401213,0.13359255912908832,0.06489812794800545,0.27067974939402034,99.84909938278106,False,False
6430,1247.0,1729.0,5.330511583436767,0.10033289716261629,0.10053928288315123,0.48403979837840544,87.43657159755507,False,False
